aircraft_type,normalized_type,average_burn,unit,method,source,notes
A319,A319,2304,kg/h,EUROCONTROL representative en-route rate,EUROCONTROL Standard Inputs,"Midpoint of 2240/2304/2374 kg/h payload range"
A320,A320,2358,kg/h,EUROCONTROL representative en-route rate,EUROCONTROL Standard Inputs,"Midpoint value for 65% max payload"
B737-800,B737-800,2574,kg/h,EUROCONTROL representative en-route rate,EUROCONTROL Standard Inputs,"65% max payload reference value"
B737-700,B737-700,2300,kg/h,Estimated representative cruise rate,FlightStats estimate,"Estimate; replace with operator/aircraft-specific data when available"
737-700,B737-700,2300,kg/h,Estimated representative cruise rate,FlightStats estimate,"Normalized duplicate of B737-700"
B737-900,B737-900,2700,kg/h,Estimated representative cruise rate,FlightStats estimate,"Estimate based on 737NG family; not an official EUROCONTROL value"
B737-Combi,B737-Combi,2500,kg/h,Estimated representative cruise rate,FlightStats estimate,"Generic 737 Combi estimate; aircraft configuration can materially affect burn"
A330-200,A330-200,5590,kg/h,Representative cruise estimate,Public aircraft fuel-burn reference,"Representative cruise figure; actual burn varies with weight, engine and conditions"
A330-200F,A330-200F,5590,kg/h,Aircraft-family proxy,A330-200 proxy,"Uses A330-200 value as a proxy; freighter configuration may differ"
A330-900,A330-900,5200,kg/h,Estimated representative cruise rate,FlightStats estimate,"Estimate for A330neo; actual burn depends strongly on weight and engine settings"
PA28,PA28,37.85,L/h,75% power best-power POH value,Piper PA-28-161 POH,"10.0 US gal/h converted to 37.85 L/h; PA-28 subtype varies"
PA34,PA34,89.32,L/h,75% power POH value,Piper PA-34-200T POH,"23.6 US gal/h converted to 89.32 L/h"
PA44,PA44,65.84,L/h,Representative cruise POH value,Piper PA-44-180 POH,"17.4 US gal/h converted to 65.84 L/h; later POH representative cruise example"
EA300L,EA300L,52,L/h,65% power POH value,Extra 300L POH,"52 L/h at 65% power and ISA conditions"
